id,timestamp,type,value,vlog_path,lat,lng
1764200133271 ,2025-11-2707:35:33,sentiment,4,,24.9517602,121.3830484
1764201288343 ,2025-11-2707:54:48,sentiment,4,,24.866071,121.2223656
1764222513581 ,2025-11-2713:48:33,sentiment,4,,24.7813639,120.9936701
1764244099989 ,2025-11-2719:48:19,sentiment,2,,24.7819553,120.9950073
